year,geo,gender,age_group,education,employment_rate,unemployment_rate,participation_rate,education_ord
2014,Newfoundland and Labrador,Women,15 years and over,Post-Secondary,56.6,9.7,63.7,4
2014,Nova Scotia,Men,15 years and over,Post-Secondary,59.5,14.0,69.2,4
2014,Nova Scotia,Women,15 years and over,Post-Secondary,59.4,7.9,64.6,4
2014,Ontario,Men,15 years and over,Post-Secondary,63.2,10.8,70.8,4
2014,Ontario,Women,15 years and over,Post-Secondary,58.7,10.1,65.3,4
2014,Prince Edward Island,Men,15 years and over,Post-Secondary,59.0,11.1,69.2,4
2014,Prince Edward Island,Women,15 years and over,Post-Secondary,62.5,7.4,67.5,4
2014,Quebec,Men,15 years and over,Post-Secondary,63.7,11.1,71.7,4
2014,Quebec,Women,15 years and over,Post-Secondary,61.6,6.8,66.1,4
2014,Saskatchewan,Men,15 years and over,Post-Secondary,71.9,3.6,74.5,4
2014,Saskatchewan,Women,15 years and over,Post-Secondary,68.3,4.2,71.3,4
2014,Alberta,Men,15 years and over,No Credential,54.2,8.7,59.4,1
2014,Alberta,Women,15 years and over,No Credential,36.0,9.6,39.8,1
2014,British Columbia,Men,15 years and over,No Credential,36.9,12.1,41.9,1
2014,British Columbia,Women,15 years and over,No Credential,26.5,14.5,31.0,1
2014,Manitoba,Men,15 years and over,No Credential,48.5,10.4,54.2,1
2014,Manitoba,Women,15 years and over,No Credential,27.4,12.1,31.3,1
2014,New Brunswick,Men,15 years and over,No Credential,33.6,24.3,44.5,1
2014,New Brunswick,Women,15 years and over,No Credential,25.1,17.6,30.4,1
2014,Newfoundland and Labrador,Men,15 years and over,No Credential,27.6,26.7,37.5,1
2014,Newfoundland and Labrador,Women,15 years and over,No Credential,20.8,20.7,26.3,1
2014,Nova Scotia,Men,15 years and over,No Credential,36.0,20.5,45.2,1
2014,Nova Scotia,Women,15 years and over,No Credential,23.6,18.1,28.9,1
2014,Ontario,Men,15 years and over,No Credential,37.8,14.3,44.1,1
2014,Ontario,Women,15 years and over,No Credential,25.2,15.2,29.7,1
2014,Prince Edward Island,Men,15 years and over,No Credential,41.5,23.8,54.4,1
2014,Prince Edward Island,Women,15 years and over,No Credential,33.6,19.1,41.6,1
2014,Quebec,Men,15 years and over,No Credential,39.3,16.6,47.0,1
2014,Quebec,Women,15 years and over,No Credential,22.9,16.2,27.4,1
2014,Saskatchewan,Men,15 years and over,No Credential,49.3,8.0,53.6,1
2014,Saskatchewan,Women,15 years and over,No Credential,29.4,9.3,32.3,1
2014,Alberta,Men,15 years and over,Certificate/Diploma,81.5,3.4,84.3,5
2014,Alberta,Women,15 years and over,Certificate/Diploma,70.0,4.2,73.1,5
2014,British Columbia,Men,15 years and over,Certificate/Diploma,70.9,5.0,74.7,5
2014,British Columbia,Women,15 years and over,Certificate/Diploma,63.9,4.8,67.1,5
2014,Manitoba,Men,15 years and over,Certificate/Diploma,76.3,4.1,79.5,5
2014,Manitoba,Women,15 years and over,Certificate/Diploma,66.4,4.8,69.8,5
2014,New Brunswick,Men,15 years and over,Certificate/Diploma,68.6,9.8,76.1,5
2014,New Brunswick,Women,15 years and over,Certificate/Diploma,63.1,6.5,67.4,5
2014,Newfoundland and Labrador,Men,15 years and over,Certificate/Diploma,67.6,13.0,77.6,5
2014,Newfoundland and Labrador,Women,15 years and over,Certificate/Diploma,61.8,8.9,68.0,5
2014,Nova Scotia,Men,15 years and over,Certificate/Diploma,65.2,9.5,72.1,5
2014,Nova Scotia,Women,15 years and over,Certificate/Diploma,61.1,5.7,64.8,5
2014,Ontario,Men,15 years and over,Certificate/Diploma,73.9,5.8,78.4,5
2014,Ontario,Women,15 years and over,Certificate/Diploma,66.3,5.6,70.2,5
2014,Prince Edward Island,Men,15 years and over,Certificate/Diploma,73.6,8.4,80.4,5
2014,Prince Edward Island,Women,15 years and over,Certificate/Diploma,64.6,7.7,70.0,5
2014,Quebec,Men,15 years and over,Certificate/Diploma,71.3,7.7,77.3,5
2014,Quebec,Women,15 years and over,Certificate/Diploma,69.0,5.2,72.8,5
2014,Saskatchewan,Men,15 years and over,Certificate/Diploma,82.1,2.5,84.3,5
2014,Saskatchewan,Women,15 years and over,Certificate/Diploma,67.0,2.7,69.0,5
2014,Alberta,Men,15 years and over,University Degree,83.4,3.3,86.3,6
2014,Alberta,Women,15 years and over,University Degree,75.9,4.1,79.2,6
2014,British Columbia,Men,15 years and over,University Degree,73.1,4.6,76.6,6
2014,British Columbia,Women,15 years and over,University Degree,68.6,5.1,72.4,6
2014,Manitoba,Men,15 years and over,University Degree,78.0,3.2,80.6,6
2014,Manitoba,Women,15 years and over,University Degree,75.3,3.9,78.3,6
2014,New Brunswick,Men,15 years and over,University Degree,73.2,4.1,76.3,6
2014,New Brunswick,Women,15 years and over,University Degree,74.7,4.1,78.0,6
2014,Newfoundland and Labrador,Men,15 years and over,University Degree,77.7,5.7,82.4,6
2014,Newfoundland and Labrador,Women,15 years and over,University Degree,75.1,4.3,78.4,6
2014,Nova Scotia,Men,15 years and over,University Degree,73.0,4.7,76.7,6
2014,Nova Scotia,Women,15 years and over,University Degree,72.1,4.3,75.3,6
2014,Ontario,Men,15 years and over,University Degree,75.7,5.6,80.2,6
2014,Ontario,Women,15 years and over,University Degree,72.5,5.5,76.7,6
2014,Prince Edward Island,Men,15 years and over,University Degree,72.2,6.7,77.3,6
2014,Prince Edward Island,Women,15 years and over,University Degree,75.0,4.0,78.1,6
2014,Quebec,Men,15 years and over,University Degree,72.5,6.2,77.3,6
2014,Quebec,Women,15 years and over,University Degree,73.1,4.5,76.5,6
2014,Saskatchewan,Men,15 years and over,University Degree,81.6,1.9,83.2,6
2014,Saskatchewan,Women,15 years and over,University Degree,77.9,2.6,79.9,6
2014,Alberta,Men,15 years and over,High School,83.9,3.0,86.5,3
2014,Alberta,Women,15 years and over,High School,71.4,4.2,74.5,3
2014,British Columbia,Men,15 years and over,High School,74.0,4.6,77.6,3
2014,British Columbia,Women,15 years and over,High School,65.7,4.6,68.9,3
2014,Manitoba,Men,15 years and over,High School,79.9,3.9,83.2,3
2014,Manitoba,Women,15 years and over,High School,69.2,4.6,72.4,3
2014,New Brunswick,Men,15 years and over,High School,73.6,9.0,80.9,3
2014,New Brunswick,Women,15 years and over,High School,66.1,6.2,70.5,3
2014,Newfoundland and Labrador,Men,15 years and over,High School,71.0,11.6,80.3,3
2014,Newfoundland and Labrador,Women,15 years and over,High School,62.9,8.7,68.9,3
2014,Nova Scotia,Men,15 years and over,High School,70.4,8.8,77.1,3
2014,Nova Scotia,Women,15 years and over,High School,63.7,5.8,67.7,3
2014,Ontario,Men,15 years and over,High School,76.4,5.8,81.1,3
2014,Ontario,Women,15 years and over,High School,67.9,5.6,71.9,3
2014,Prince Edward Island,Men,15 years and over,High School,77.5,7.8,84.1,3
2014,Prince Edward Island,Women,15 years and over,High School,67.8,7.3,73.7,3
2014,Quebec,Men,15 years and over,High School,73.7,7.3,79.4,3
2014,Quebec,Women,15 years and over,High School,70.7,5.0,74.4,3
2014,Saskatchewan,Men,15 years and over,High School,84.9,2.5,87.0,3
2014,Saskatchewan,Women,15 years and over,High School,68.6,2.8,70.6,3
2014,Alberta,Men,15 years and over,No High School,62.2,6.9,66.8,2
2014,British Columbia,Men,15 years and over,No High School,47.7,9.7,52.8,2
2014,British Columbia,Women,15 years and over,No High School,40.6,8.2,44.3,2
2014,Manitoba,Men,15 years and over,No High School,52.8,6.0,56.2,2
2014,Manitoba,Women,15 years and over,No High School,38.4,9.4,42.4,2
2014,New Brunswick,Men,15 years and over,No High School,40.0,17.8,48.7,2
2014,Newfoundland and Labrador,Men,15 years and over,No High School,46.5,24.6,60.5,2
2014,Nova Scotia,Men,15 years and over,No High School,43.1,14.5,50.4,2
2014,Ontario,Men,15 years and over,No High School,45.1,6.4,48.3,2
2014,Ontario,Women,15 years and over,No High School,37.7,6.9,40.5,2
2014,Prince Edward Island,Men,15 years and over,No High School,52.0,13.3,60.0,2
2014,Quebec,Men,15 years and over,No High School,55.2,11.8,62.5,2
2014,Quebec,Women,15 years and over,No High School,44.2,9.6,48.9,2
2015,Alberta,Men,15 years and over,Postgraduate,76.3,6.2,81.3,7
2015,Alberta,Women,15 years and over,Postgraduate,76.4,4.9,80.3,7
2015,British Columbia,Men,15 years and over,Postgraduate,73.1,4.4,76.5,7
2015,British Columbia,Women,15 years and over,Postgraduate,71.3,4.2,74.4,7
2015,Manitoba,Men,15 years and over,Postgraduate,77.9,2.8,80.1,7
2015,Manitoba,Women,15 years and over,Postgraduate,74.3,4.8,78.0,7
2015,New Brunswick,Women,15 years and over,Postgraduate,73.4,4.5,77.6,7
2015,Nova Scotia,Men,15 years and over,Postgraduate,70.7,3.8,73.5,7
2015,Nova Scotia,Women,15 years and over,Postgraduate,74.7,3.2,77.2,7
2015,Ontario,Men,15 years and over,Postgraduate,75.5,4.3,78.9,7
2015,Ontario,Women,15 years and over,Postgraduate,73.3,5.6,77.7,7
2015,Quebec,Men,15 years and over,Postgraduate,70.7,6.1,75.3,7
2015,Quebec,Women,15 years and over,Postgraduate,75.4,5.0,79.3,7
2015,Saskatchewan,Men,15 years and over,Postgraduate,78.8,3.9,82.0,7
2015,Saskatchewan,Women,15 years and over,Postgraduate,80.9,4.4,84.0,7
2015,Alberta,Men,15 years and over,Post-Secondary,73.4,7.2,79.1,4
2015,Alberta,Women,15 years and over,Post-Secondary,61.8,7.4,66.7,4
2015,British Columbia,Men,15 years and over,Post-Secondary,62.6,7.8,67.8,4
2015,British Columbia,Women,15 years and over,Post-Secondary,56.3,5.7,59.6,4
2015,Manitoba,Men,15 years and over,Post-Secondary,72.6,6.4,77.5,4
2015,Manitoba,Women,15 years and over,Post-Secondary,70.2,5.5,74.3,4
2015,New Brunswick,Men,15 years and over,Post-Secondary,56.6,13.0,65.8,4
2015,New Brunswick,Women,15 years and over,Post-Secondary,57.9,9.6,64.0,4
2015,Newfoundland and Labrador,Men,15 years and over,Post-Secondary,59.1,11.0,66.4,4
2015,Newfoundland and Labrador,Women,15 years and over,Post-Secondary,66.7,6.7,72.4,4
2015,Nova Scotia,Men,15 years and over,Post-Secondary,57.9,11.7,65.0,4
2015,Nova Scotia,Women,15 years and over,Post-Secondary,59.2,7.1,64.2,4
2015,Ontario,Men,15 years and over,Post-Secondary,61.9,10.0,68.8,4
2015,Ontario,Women,15 years and over,Post-Secondary,56.8,9.6,62.8,4
2015,Prince Edward Island,Men,15 years and over,Post-Secondary,68.8,12.5,75.0,4
2015,Prince Edward Island,Women,15 years and over,Post-Secondary,60.6,13.6,66.7,4
2015,Quebec,Men,15 years and over,Post-Secondary,67.1,10.9,75.3,4
2015,Quebec,Women,15 years and over,Post-Secondary,63.1,9.1,69.5,4
2015,Saskatchewan,Men,15 years and over,Post-Secondary,69.5,5.1,73.2,4
2015,Saskatchewan,Women,15 years and over,Post-Secondary,68.2,6.3,72.3,4
2015,Alberta,Men,15 years and over,No Credential,52.5,10.8,58.9,1
2015,Alberta,Women,15 years and over,No Credential,36.8,11.3,41.5,1
2015,British Columbia,Men,15 years and over,No Credential,37.8,13.3,43.6,1
2015,British Columbia,Women,15 years and over,No Credential,26.8,13.4,31.0,1
2015,Manitoba,Men,15 years and over,No Credential,46.1,10.7,51.6,1
2015,Manitoba,Women,15 years and over,No Credential,27.8,14.7,32.6,1
2015,New Brunswick,Men,15 years and over,No Credential,33.6,23.1,43.7,1
2015,New Brunswick,Women,15 years and over,No Credential,25.8,15.5,30.6,1
2015,Newfoundland and Labrador,Men,15 years and over,No Credential,28.8,28.1,40.0,1
2015,Newfoundland and Labrador,Women,15 years and over,No Credential,23.0,18.9,28.3,1
2015,Nova Scotia,Men,15 years and over,No Credential,36.3,18.1,44.3,1
2015,Nova Scotia,Women,15 years and over,No Credential,26.6,14.6,31.3,1
2015,Ontario,Men,15 years and over,No Credential,37.0,13.5,42.8,1
2015,Ontario,Women,15 years and over,No Credential,24.5,14.3,28.6,1
2015,Prince Edward Island,Men,15 years and over,No Credential,42.6,20.3,53.4,1
2015,Prince Edward Island,Women,15 years and over,No Credential,29.2,19.5,36.3,1
2015,Quebec,Men,15 years and over,No Credential,38.4,15.6,45.5,1
2015,Quebec,Women,15 years and over,No Credential,24.2,13.3,27.9,1
2015,Saskatchewan,Men,15 years and over,No Credential,50.7,9.1,55.6,1
2015,Saskatchewan,Women,15 years and over,No Credential,28.1,12.3,32.1,1
2015,Alberta,Men,15 years and over,Certificate/Diploma,81.6,5.0,85.9,5
2015,Alberta,Women,15 years and over,Certificate/Diploma,69.5,4.5,72.8,5
2015,British Columbia,Men,15 years and over,Certificate/Diploma,69.6,5.9,74.0,5
2015,British Columbia,Women,15 years and over,Certificate/Diploma,63.7,5.0,67.0,5
2015,Manitoba,Men,15 years and over,Certificate/Diploma,76.9,4.1,80.2,5
2015,Manitoba,Women,15 years and over,Certificate/Diploma,66.7,4.4,69.8,5
2015,New Brunswick,Men,15 years and over,Certificate/Diploma,66.4,10.9,74.6,5
2015,New Brunswick,Women,15 years and over,Certificate/Diploma,62.1,6.1,66.1,5
2015,Newfoundland and Labrador,Men,15 years and over,Certificate/Diploma,65.1,15.4,77.0,5
2015,Newfoundland and Labrador,Women,15 years and over,Certificate/Diploma,61.7,9.5,68.1,5
2015,Nova Scotia,Men,15 years and over,Certificate/Diploma,64.1,10.8,71.9,5
2015,Nova Scotia,Women,15 years and over,Certificate/Diploma,60.9,5.5,64.5,5
2015,Ontario,Men,15 years and over,Certificate/Diploma,74.0,5.5,78.3,5
2015,Ontario,Women,15 years and over,Certificate/Diploma,66.3,5.1,69.9,5
2015,Prince Edward Island,Men,15 years and over,Certificate/Diploma,71.2,8.3,78.2,5
2015,Prince Edward Island,Women,15 years and over,Certificate/Diploma,65.3,7.3,70.4,5
2015,Quebec,Men,15 years and over,Certificate/Diploma,71.4,7.4,77.1,5
2015,Quebec,Women,15 years and over,Certificate/Diploma,68.1,5.6,72.1,5
2015,Saskatchewan,Men,15 years and over,Certificate/Diploma,78.7,4.4,82.3,5
2015,Saskatchewan,Women,15 years and over,Certificate/Diploma,69.2,3.0,71.3,5
2015,Alberta,Men,15 years and over,University Degree,79.9,5.8,84.8,6
2015,Alberta,Women,15 years and over,University Degree,74.9,4.5,78.4,6
2015,British Columbia,Men,15 years and over,University Degree,74.0,4.9,77.7,6
2015,British Columbia,Women,15 years and over,University Degree,70.0,4.6,73.4,6
2015,Manitoba,Men,15 years and over,University Degree,80.0,3.4,82.8,6
2015,Manitoba,Women,15 years and over,University Degree,75.7,4.2,79.0,6
2015,New Brunswick,Men,15 years and over,University Degree,73.7,5.0,77.6,6
2015,New Brunswick,Women,15 years and over,University Degree,74.0,3.7,77.0,6
2015,Newfoundland and Labrador,Men,15 years and over,University Degree,73.5,4.0,76.6,6
2015,Newfoundland and Labrador,Women,15 years and over,University Degree,74.2,4.8,77.9,6
2015,Nova Scotia,Men,15 years and over,University Degree,73.2,4.6,76.7,6
2015,Nova Scotia,Women,15 years and over,University Degree,72.8,4.8,76.4,6
2015,Ontario,Men,15 years and over,University Degree,76.8,4.5,80.4,6
2015,Ontario,Women,15 years and over,University Degree,72.3,4.9,76.0,6
2015,Prince Edward Island,Men,15 years and over,University Degree,73.3,5.1,77.2,6
2015,Prince Edward Island,Women,15 years and over,University Degree,73.5,4.9,77.3,6
2015,Quebec,Men,15 years and over,University Degree,74.2,5.2,78.2,6
2015,Quebec,Women,15 years and over,University Degree,72.2,5.3,76.2,6
2015,Saskatchewan,Men,15 years and over,University Degree,79.9,3.8,83.1,6
2015,Saskatchewan,Women,15 years and over,University Degree,77.9,3.4,80.6,6
2015,Alberta,Men,15 years and over,High School,83.8,4.8,88.1,3
2015,Alberta,Women,15 years and over,High School,71.1,4.3,74.3,3
2015,British Columbia,Men,15 years and over,High School,72.5,5.4,76.6,3
2015,British Columbia,Women,15 years and over,High School,65.2,5.0,68.6,3
2015,Manitoba,Men,15 years and over,High School,80.2,3.6,83.2,3
2015,Manitoba,Women,15 years and over,High School,69.6,4.2,72.7,3
2015,New Brunswick,Men,15 years and over,High School,71.6,10.2,79.8,3
2015,New Brunswick,Women,15 years and over,High School,65.0,5.7,69.1,3
2015,Newfoundland and Labrador,Men,15 years and over,High School,69.3,13.9,80.3,3
2015,Newfoundland and Labrador,Women,15 years and over,High School,62.7,9.1,69.1,3
2015,Nova Scotia,Men,15 years and over,High School,68.8,10.3,76.6,3
2015,Nova Scotia,Women,15 years and over,High School,64.4,5.4,68.1,3
2015,Ontario,Men,15 years and over,High School,76.2,5.4,80.6,3
2015,Ontario,Women,15 years and over,High School,68.0,5.0,71.5,3
2015,Prince Edward Island,Men,15 years and over,High School,75.2,8.5,81.4,3
2015,Prince Edward Island,Women,15 years and over,High School,68.7,6.9,74.4,3
2015,Quebec,Men,15 years and over,High School,73.9,6.6,79.2,3
2015,Quebec,Women,15 years and over,High School,69.4,5.5,73.4,3
2015,Saskatchewan,Men,15 years and over,High School,82.5,4.3,86.2,3
2015,Saskatchewan,Women,15 years and over,High School,71.3,2.7,73.3,3
2015,Alberta,Men,15 years and over,No High School,61.6,7.4,66.5,2
2015,Alberta,Women,15 years and over,No High School,49.0,8.6,53.9,2
2015,British Columbia,Men,15 years and over,No High School,46.9,11.1,52.8,2
2015,Manitoba,Men,15 years and over,No High School,55.1,8.4,60.1,2
2015,New Brunswick,Men,15 years and over,No High School,38.4,18.2,47.0,2
2015,Newfoundland and Labrador,Men,15 years and over,No High School,39.8,30.0,56.9,2
2015,Nova Scotia,Men,15 years and over,No High School,43.9,14.4,50.8,2
2015,Ontario,Men,15 years and over,No High School,49.0,6.5,52.4,2
2015,Ontario,Women,15 years and over,No High School,36.3,7.0,39.1,2
2015,Prince Edward Island,Men,15 years and over,No High School,48.0,14.3,56.0,2
2015,Quebec,Men,15 years and over,No High School,54.7,13.8,63.5,2
2015,Quebec,Women,15 years and over,No High School,48.4,7.4,52.3,2
2015,Saskatchewan,Men,15 years and over,No High School,54.4,7.1,58.6,2
2016,Alberta,Men,15 years and over,Postgraduate,75.6,8.2,82.3,7
2016,Alberta,Women,15 years and over,Postgraduate,73.6,5.8,78.2,7
2016,British Columbia,Men,15 years and over,Postgraduate,70.5,5.1,74.3,7
2016,British Columbia,Women,15 years and over,Postgraduate,71.7,5.3,75.8,7
2016,Manitoba,Men,15 years and over,Postgraduate,75.5,3.1,78.3,7
2016,Manitoba,Women,15 years and over,Postgraduate,73.5,4.9,77.3,7
2016,Nova Scotia,Men,15 years and over,Postgraduate,72.2,3.9,75.2,7
2016,Nova Scotia,Women,15 years and over,Postgraduate,72.8,3.2,75.0,7
2016,Ontario,Men,15 years and over,Postgraduate,75.5,4.5,79.0,7
2016,Ontario,Women,15 years and over,Postgraduate,73.1,5.5,77.3,7
2016,Prince Edward Island,Men,15 years and over,Postgraduate,66.7,8.0,69.4,7
2016,Quebec,Men,15 years and over,Postgraduate,72.9,5.4,77.0,7
2016,Quebec,Women,15 years and over,Postgraduate,75.7,5.0,79.6,7
2016,Saskatchewan,Men,15 years and over,Postgraduate,77.5,5.0,82.1,7
2016,Saskatchewan,Women,15 years and over,Postgraduate,77.3,5.3,81.6,7
2016,Alberta,Men,15 years and over,Post-Secondary,68.1,9.7,75.4,4
2016,Alberta,Women,15 years and over,Post-Secondary,62.3,6.9,66.9,4
2016,British Columbia,Men,15 years and over,Post-Secondary,63.4,8.1,68.9,4
2016,British Columbia,Women,15 years and over,Post-Secondary,61.2,6.6,65.5,4
2016,Manitoba,Men,15 years and over,Post-Secondary,72.2,7.0,77.4,4
2016,Manitoba,Women,15 years and over,Post-Secondary,64.9,7.6,70.2,4
2016,New Brunswick,Men,15 years and over,Post-Secondary,59.5,11.7,67.3,4
2016,New Brunswick,Women,15 years and over,Post-Secondary,57.6,9.2,63.4,4
2016,Newfoundland and Labrador,Men,15 years and over,Post-Secondary,55.4,16.2,66.1,4
2016,Newfoundland and Labrador,Women,15 years and over,Post-Secondary,57.7,10.4,64.4,4
2016,Nova Scotia,Men,15 years and over,Post-Secondary,59.6,9.5,65.8,4
2016,Nova Scotia,Women,15 years and over,Post-Secondary,61.6,6.9,66.2,4
2016,Ontario,Men,15 years and over,Post-Secondary,60.7,9.6,67.2,4
2016,Ontario,Women,15 years and over,Post-Secondary,54.9,9.0,60.4,4
2016,Prince Edward Island,Men,15 years and over,Post-Secondary,53.3,10.5,63.3,4
2016,Prince Edward Island,Women,15 years and over,Post-Secondary,62.1,10.0,69.0,4
2016,Quebec,Men,15 years and over,Post-Secondary,64.4,10.3,71.8,4
2016,Quebec,Women,15 years and over,Post-Secondary,61.9,7.8,67.2,4
2016,Saskatchewan,Men,15 years and over,Post-Secondary,67.6,6.9,72.6,4
2016,Saskatchewan,Women,15 years and over,Post-Secondary,67.2,6.2,71.7,4
2016,Alberta,Men,15 years and over,No Credential,48.5,14.9,57.0,1
2016,Alberta,Women,15 years and over,No Credential,32.3,14.9,38.1,1
2016,British Columbia,Men,15 years and over,No Credential,39.9,12.0,45.4,1
2016,British Columbia,Women,15 years and over,No Credential,29.2,14.0,34.0,1
2016,Manitoba,Men,15 years and over,No Credential,47.1,12.5,53.8,1
2016,Manitoba,Women,15 years and over,No Credential,27.6,12.8,31.6,1
2016,New Brunswick,Men,15 years and over,No Credential,34.1,23.1,44.4,1
2016,New Brunswick,Women,15 years and over,No Credential,22.9,15.7,27.1,1
2016,Newfoundland and Labrador,Men,15 years and over,No Credential,27.4,28.5,38.3,1
2016,Newfoundland and Labrador,Women,15 years and over,No Credential,20.6,20.0,26.0,1
2016,Nova Scotia,Men,15 years and over,No Credential,33.7,18.0,41.1,1
2016,Nova Scotia,Women,15 years and over,No Credential,23.4,15.8,27.7,1
2016,Ontario,Men,15 years and over,No Credential,36.9,12.4,42.1,1
2016,Ontario,Women,15 years and over,No Credential,24.7,13.4,28.6,1
2016,Prince Edward Island,Men,15 years and over,No Credential,39.7,22.9,51.5,1
2016,Prince Edward Island,Women,15 years and over,No Credential,27.5,18.9,33.9,1
2016,Quebec,Men,15 years and over,No Credential,39.3,15.2,46.4,1
2016,Quebec,Women,15 years and over,No Credential,23.5,13.2,27.1,1
2016,Saskatchewan,Men,15 years and over,No Credential,47.3,12.0,53.7,1
2016,Saskatchewan,Women,15 years and over,No Credential,29.8,12.2,33.9,1
2016,Alberta,Men,15 years and over,Certificate/Diploma,78.2,7.1,84.2,5
2016,Alberta,Women,15 years and over,Certificate/Diploma,67.4,6.0,71.7,5
2016,British Columbia,Men,15 years and over,Certificate/Diploma,71.0,5.8,75.4,5
2016,British Columbia,Women,15 years and over,Certificate/Diploma,63.3,4.2,66.0,5
2016,Manitoba,Men,15 years and over,Certificate/Diploma,75.0,4.6,78.7,5
2016,Manitoba,Women,15 years and over,Certificate/Diploma,66.2,4.0,69.0,5
2016,New Brunswick,Men,15 years and over,Certificate/Diploma,66.2,11.3,74.5,5
2016,New Brunswick,Women,15 years and over,Certificate/Diploma,62.8,5.6,66.5,5
2016,Newfoundland and Labrador,Men,15 years and over,Certificate/Diploma,63.1,16.1,75.2,5
2016,Newfoundland and Labrador,Women,15 years and over,Certificate/Diploma,61.9,9.7,68.6,5
2016,Nova Scotia,Men,15 years and over,Certificate/Diploma,64.0,10.9,71.8,5
2016,Nova Scotia,Women,15 years and over,Certificate/Diploma,59.6,5.6,63.1,5
2016,Ontario,Men,15 years and over,Certificate/Diploma,73.0,5.2,77.0,5
2016,Ontario,Women,15 years and over,Certificate/Diploma,65.8,5.3,69.5,5
2016,Prince Edward Island,Men,15 years and over,Certificate/Diploma,71.4,10.3,79.7,5
2016,Prince Edward Island,Women,15 years and over,Certificate/Diploma,59.7,7.5,64.6,5
2016,Quebec,Men,15 years and over,Certificate/Diploma,70.8,7.3,76.4,5
2016,Quebec,Women,15 years and over,Certificate/Diploma,68.2,5.1,71.9,5
2016,Saskatchewan,Men,15 years and over,Certificate/Diploma,77.8,5.6,82.4,5
2016,Saskatchewan,Women,15 years and over,Certificate/Diploma,65.7,4.7,68.9,5
2016,Alberta,Men,15 years and over,University Degree,77.5,7.0,83.3,6
2016,Alberta,Women,15 years and over,University Degree,73.4,6.4,78.4,6
2016,British Columbia,Men,15 years and over,University Degree,72.4,5.1,76.3,6
2016,British Columbia,Women,15 years and over,University Degree,70.4,4.6,73.8,6
2016,Manitoba,Men,15 years and over,University Degree,77.7,3.7,80.6,6
2016,Manitoba,Women,15 years and over,University Degree,75.3,3.3,77.9,6
2016,New Brunswick,Men,15 years and over,University Degree,74.7,4.8,78.5,6
2016,New Brunswick,Women,15 years and over,University Degree,75.5,3.7,78.4,6
2016,Newfoundland and Labrador,Men,15 years and over,University Degree,73.9,6.6,79.1,6
2016,Newfoundland and Labrador,Women,15 years and over,University Degree,73.9,4.7,77.3,6
2016,Nova Scotia,Men,15 years and over,University Degree,73.0,3.8,75.9,6
2016,Nova Scotia,Women,15 years and over,University Degree,73.1,3.7,75.8,6
2016,Ontario,Men,15 years and over,University Degree,76.9,4.8,80.8,6
2016,Ontario,Women,15 years and over,University Degree,71.7,5.1,75.5,6
2016,Prince Edward Island,Men,15 years and over,University Degree,71.7,5.8,76.1,6
2016,Prince Edward Island,Women,15 years and over,University Degree,74.3,4.7,77.9,6
2016,Quebec,Men,15 years and over,University Degree,73.0,5.0,76.8,6
2016,Quebec,Women,15 years and over,University Degree,73.1,5.0,76.9,6
2016,Saskatchewan,Men,15 years and over,University Degree,80.0,4.6,83.7,6
2016,Saskatchewan,Women,15 years and over,University Degree,77.1,4.3,80.6,6
2016,Alberta,Men,15 years and over,High School,80.6,6.6,86.4,3
2016,Alberta,Women,15 years and over,High School,69.3,5.8,73.6,3
2016,British Columbia,Men,15 years and over,High School,73.6,5.4,77.7,3
2016,British Columbia,Women,15 years and over,High School,64.3,4.2,67.1,3
